"trans_id","lang","translation"
"リージョンセンター前","en","Region Center-mae"
"リージョンセンター前","ja","リージョンセンター前"
"リージョンセンター前","ja-Hrkt","リージョンセンターマエ"
"スポーツセンター前","en","Sports Center-mae"
"スポーツセンター前","ja","スポーツセンター前"
"スポーツセンター前","ja-Hrkt","スポーツセンターマエ"
"リハビリセンター前","en","Rehabilitation Center-mae"
"リハビリセンター前","ja","リハビリセンター前"
"リハビリセンター前","ja-Hrkt","リハビリセンターマエ"
"エフベーカリー前","en","Efu Bakery-mae"
"エフベーカリー前","ja","エフベーカリー前"
"エフベーカリー前","ja-Hrkt","エフベーカリーマエ"
"グランドマート前","en","Grand Mart-mae"
"グランドマート前","ja","グランドマート前"
"グランドマート前","ja-Hrkt","グランドマートマエ"
"ゴルフセンター前","en","Golf Center-mae"
"ゴルフセンター前","ja","ゴルフセンター前"
"ゴルフセンター前","ja-Hrkt","ゴルフセンターマエ"
"ジャパンパイル前","en","JAPAN PILE-mae"
"ジャパンパイル前","ja","ジャパンパイル前"
"ジャパンパイル前","ja-Hrkt","ジャパンパイルマエ"
"ヤンマーアグリ前","en","Yanmar Aguri-mae"
"ヤンマーアグリ前","ja","ヤンマーアグリ前"
"ヤンマーアグリ前","ja-Hrkt","ヤンマーアグリマエ"
"ほんぶしん前","en","Honbushin-mae"
"ほんぶしん前","ja","ほんぶしん前"
"ほんぶしん前","ja-Hrkt","ホンブシンマエ"
"ハピーズ前","en","Happys-mae"
"ハピーズ前","ja","ハピーズ前"
"ハピーズ前","ja-Hrkt","ハピーズマエ"
"マルナカ前","en","Marunaka-mae"
"マルナカ前","ja","マルナカ前"
"マルナカ前","ja-Hrkt","マルナカマエ"
"グンゼ前","en","Gunze-mae"
"グンゼ前","ja","グンゼ前"
"グンゼ前","ja-Hrkt","グンゼマエ"
"ツモク前","en","Tsumoku-mae"
"ツモク前","ja","ツモク前"
"ツモク前","ja-Hrkt","ツモクマエ"
"トンボ前","en","TOMBOW-mae"
"トンボ前","ja","トンボ前"
"トンボ前","ja-Hrkt","トンボマエ"
"プール前","en","Pool-mae"
"プール前","ja","プール前"
"プール前","ja-Hrkt","プールマエ"
"前田バス停","en","Maeda Bus Stop"
"前田バス停","ja","前田バス停"
"前田バス停","ja-Hrkt","マエダバステイ"
"前田橋","en","Maedabashi"
"前田橋","ja","前田橋"
"前田橋","ja-Hrkt","マエダバシ"
"加茂宗津","en","Kamosozu"
"加茂宗津","ja","加茂宗津"
"加茂宗津","ja-Hrkt","カモソウヅ"
"加茂川中学校前","en","Kamogawa Chugakko-mae"
"加茂川中学校前","ja","加茂川中学校前"
"加茂川中学校前","ja-Hrkt","カモガワチュウガッコウマエ"
"加茂川荘前","en","Kamogawasou-mae"
"加茂川荘前","ja","加茂川荘前"
"加茂川荘前","ja-Hrkt","カモガワソウマエ"
"加茂市場","en","Kamoichiba"
"加茂市場","ja","加茂市場"
"加茂市場","ja-Hrkt","カモイチバ"
"加茂支所","en","Kamoshisho"
"加茂支所","ja","加茂支所"
"加茂支所","ja-Hrkt","カモシショ"
"加茂駅前","en","Kamoeki-mae"
"加茂駅前","ja","加茂駅前"
"加茂駅前","ja-Hrkt","カモエキマエ"
"勝久橋","en","Shokyubashi"
"勝久橋","ja","勝久橋"
"勝久橋","ja-Hrkt","ショウキュウバシ"
"勝北中学校前","en","Shoboku Chugakko-mae"
"勝北中学校前","ja","勝北中学校前"
"勝北中学校前","ja-Hrkt","ショウボクチュウガッコウマエ"
"勝北支所前","en","Shobokushisho-mae"
"勝北支所前","ja","勝北支所前"
"勝北支所前","ja-Hrkt","ショウボクシショマエ"
"勝尾","en","Katsuo"
"勝尾","ja","勝尾"
"勝尾","ja-Hrkt","カツオ"
"勝山〔１〕","en","Katsuyama"
"勝山〔１〕","ja","勝山〔１〕"
"勝山〔１〕","ja-Hrkt","カツヤマ"
"勝山大橋","en","Katsuyamaohashi"
"勝山大橋","ja","勝山大橋"
"勝山大橋","ja-Hrkt","カツヤマオオハシ"
"勝山高校前","en","Katsuyama Koko-mae"
"勝山高校前","ja","勝山高校前"
"勝山高校前","ja-Hrkt","カツヤマコウコウマエ"
"勝部","en","Katsube"
"勝部","ja","勝部"
"勝部","ja-Hrkt","カツベ"
"勝部神社前","en","Katsube Jinja-mae"
"勝部神社前","ja","勝部神社前"
"勝部神社前","ja-Hrkt","カツベジンジャマエ"
"ハーバーブリッジ北","en","Harbor Bridge-kita"
"ハーバーブリッジ北","ja","ハーバーブリッジ北"
"ハーバーブリッジ北","ja-Hrkt","ハーバーブリッジキタ"
"ハローワーク北","en","Hellowork-kita"
"ハローワーク北","ja","ハローワーク北"
"ハローワーク北","ja-Hrkt","ハローワークキタ"
"北中須賀","en","Kitanakasuka"
"北中須賀","ja","北中須賀"
"北中須賀","ja-Hrkt","キタナカスカ"
"北吉野","en","Kitayoshino"
"北吉野","ja","北吉野"
"北吉野","ja-Hrkt","キタヨシノ"
"北房水田","en","Hokubomizuta"
"北房水田","ja","北房水田"
"北房水田","ja-Hrkt","ホクボウミズタ"
"北浦","en","Kitaura"
"北浦","ja","北浦"
"北浦","ja-Hrkt","キタウラ"
"北浦渡船場","en","Kitaura Tosenjo"
"北浦渡船場","ja","北浦渡船場"
"北浦渡船場","ja-Hrkt","キタウラトセンジョウ"
"北町","en","Kitamachi"
"北町","ja","北町"
"北町","ja-Hrkt","キタマチ"
"北畝","en","Kitaune"
"北畝","ja","北畝"
"北畝","ja-Hrkt","キタウネ"
"北畝中","en","Kitase-naka"
"北畝中","ja","北畝中"
"北畝中","ja-Hrkt","キタセナカ"
"北畝公民館前","en","Kitase Kominkan-mae"
"北畝公民館前","ja","北畝公民館前"
"北畝公民館前","ja-Hrkt","キタセコウミンカンマエ"
"北緑町","en","Kitamidorimachi"
"北緑町","ja","北緑町"
"北緑町","ja-Hrkt","キタミドリマチ"
"北の街","en","Kitanomachi"
"北の街","ja","北の街"
"北の街","ja-Hrkt","キタノマチ"
"北部住区上","en","Hokubujuku-kami"
"北部住区上","ja","北部住区上"
"北部住区上","ja-Hrkt","ホクブジュウクカミ"
"北部住区下","en","Hokubujuku-shimo"
"北部住区下","ja","北部住区下"
"北部住区下","ja-Hrkt","ホクブジュウクシモ"
"北長尾","en","Kita-Nagao"
"北長尾","ja","北長尾"
"北長尾","ja-Hrkt","キタナガオ"
"北長瀬駅","en","Kitanagase Sta."
"北長瀬駅","ja","北長瀬駅"
"北長瀬駅","ja-Hrkt","キタナガセエキ"
"北長瀬駅前","en","Kitanagase-Ekimae（Kitanagase Sta.）"
"北長瀬駅前","ja","北長瀬駅前"
"北長瀬駅前","ja-Hrkt","キタナガセエキマエ"
"北陵中学入口","en","Hokuryo Chugaku Iriguchi"
"北陵中学入口","ja","北陵中学入口"
"北陵中学入口","ja-Hrkt","ホクリョウチュウガクイリグチ"
"十日市","en","Tokaichi"
"十日市","ja","十日市"
"十日市","ja-Hrkt","トオカイチ"
"十日市南","en","Tokaichi-minami"
"十日市南","ja","十日市南"
"十日市南","ja-Hrkt","トウカイチミナミ"
"十田","en","Toda"
"十田","ja","十田"
"十田","ja-Hrkt","トウダ"
"十禅寺登山口","en","Juzenji Tozanguchi"
"十禅寺登山口","ja","十禅寺登山口"
"十禅寺登山口","ja-Hrkt","ジュウゼンジトザングチ"
"十谷","en","Totani"
"十谷","ja","十谷"
"十谷","ja-Hrkt","トタニ"
"千代駅前","en","Sendaieki-mae"
"千代駅前","ja","千代駅前"
"千代駅前","ja-Hrkt","センダイエキマエ"
"千手","en","Senzu"
"千手","ja","千手"
"千手","ja-Hrkt","センズ"
"千手弘法寺前","en","Senzu Koboji-mae"
"千手弘法寺前","ja","千手弘法寺前"
"千手弘法寺前","ja-Hrkt","センズコウボウジマエ"
"千日前・岡山芸術創造劇場ハレノワ南","en","Sennichimae/Okayama Geijutsu Sozo Gekijo Harenowa-minami"
"千日前・岡山芸術創造劇場ハレノワ南","ja","千日前・岡山芸術創造劇場ハレノワ南"
"千日前・岡山芸術創造劇場ハレノワ南","ja-Hrkt","センニチマエオカヤマゲキジュツソウゾウゲキジョウハレノワマエ"
"千町","en","Sencho"
"千町","ja","千町"
"千町","ja-Hrkt","センチョウ"
"千町橋","en","Senchobashi"
"千町橋","ja","千町橋"
"千町橋","ja-Hrkt","センチョウバシ"
"千町西","en","Sencho-nishi"
"千町西","ja","千町西"
"千町西","ja-Hrkt","センチョウニシ"
"千里ニュータウン","en","Senri Newtown"
"千里ニュータウン","ja","千里ニュータウン"
"千里ニュータウン","ja-Hrkt","センリニュータウン"
"千鳥町","en","Chidoricho"
"千鳥町","ja","千鳥町"
"千鳥町","ja-Hrkt","チドリチョウ"
"半田山ハイツ中区","en","Handayama Heights Naka-ku"
"半田山ハイツ中区","ja","半田山ハイツ中区"
"半田山ハイツ中区","ja-Hrkt","ハンダヤマハイツナカク"
"半田山ハイツ南区","en","Handayama Heights Minami-ku"
"半田山ハイツ南区","ja","半田山ハイツ南区"
"半田山ハイツ南区","ja-Hrkt","ハンダヤマハイツミナミク"
"半田山ハイツ東区","en","Handayama Heights Higashi-ku"
"半田山ハイツ東区","ja","半田山ハイツ東区"
"半田山ハイツ東区","ja-Hrkt","ハンダヤマハイツヒガシク"
"半田山ハイツ西区","en","Handayama Heights Nishi-ku"
"半田山ハイツ西区","ja","半田山ハイツ西区"
"半田山ハイツ西区","ja-Hrkt","ハンダヤマハイツニシク"
"協立病院前","en","Kyoritsu Byoin-mae (Kyoritsu General Hospital main gate)"
"協立病院前","ja","協立病院前"
"協立病院前","ja-Hrkt","キョウリツビョウインマエ"
"ほんぶしん南","en","Honbushin-minami"
"ほんぶしん南","ja","ほんぶしん南"
"ほんぶしん南","ja-Hrkt","ホンブシンミナミ"
"南ふれあいセンター","en","Minami Fureai Center"
"南ふれあいセンター","ja","南ふれあいセンター"
"南ふれあいセンター","ja-Hrkt","ミナミフレアイセンター"
"南亀島","en","Minamikamejima"
"南亀島","ja","南亀島"
"南亀島","ja-Hrkt","ミナミカメジマ"
"南小口","en","Nansho-guchi"
"南小口","ja","南小口"
"南小口","ja-Hrkt","ナンショウグチ"
"南山寮","en","Nanzanryo"
"南山寮","ja","南山寮"
"南山寮","ja-Hrkt","ナンザンリョウ"
"南新座","en","Minamishinza"
"南新座","ja","南新座"
"南新座","ja-Hrkt","ミナミシンザ"
"南方中","en","Minamigata-naka"
"南方中","ja","南方中"
"南方中","ja-Hrkt","ミナミガタナカ"
"南方交番前","en","Minamikata-koban-mae"
"南方交番前","ja","南方交番前"
"南方交番前","ja-Hrkt","ミナミカタコウバンマエ"
"南栄町","en","Minamisakaemachi"
"南栄町","ja","南栄町"
"南栄町","ja-Hrkt","ミナミサカエマチ"
"南渡橋","en","Minamiwatarihashi"
"南渡橋","ja","南渡橋"
"南渡橋","ja-Hrkt","ミナミワタリハシ"
"南畝","en","Minamiune"
"南畝","ja","南畝"
"南畝","ja-Hrkt","ミナミウネ"
"南緑町","en","Minamimidorimachi"
"南緑町","ja","南緑町"
"南緑町","ja-Hrkt","ミナミミドリマチ"
"南輝小学校前","en","Nanki Shogakko-mae"
"南輝小学校前","ja","南輝小学校前"
"南輝小学校前","ja-Hrkt","ナンキショウガッコウマエ"
"ＪＦＥ南門前","en","JFE Minamimon-mae(JFE South Gate)"
"ＪＦＥ南門前","ja","ＪＦＥ南門前"
"ＪＦＥ南門前","ja-Hrkt","ジェイエフイーミナミモンマエ"
"博愛会病院前","en","Hakuaikai Byoin-mae (Hakuaikai Hospital main gate)"
"博愛会病院前","ja","博愛会病院前"
"博愛会病院前","ja-Hrkt","ハクアイカイビョウインマエ"
"厚生町商工会議所前","en","Koseicho Shokokaigisho-mae"
"厚生町商工会議所前","ja","厚生町商工会議所前"
"厚生町商工会議所前","ja-Hrkt","コウセイチョウショウコウカイギショマエ"
"原","en","Hara"
"原","ja","原"
"原","ja-Hrkt","ハラ"
"原三谷橋","en","Haramitanibashi"
"原三谷橋","ja","原三谷橋"
"原三谷橋","ja-Hrkt","ハラミタニバシ"
"原尾島","en","Haraojima"
"原尾島","ja","原尾島"
"原尾島","ja-Hrkt","ハラオジマ"
"原尾島一丁目","en","Haraojima 1-chome"
"原尾島一丁目","ja","原尾島一丁目"
"原尾島一丁目","ja-Hrkt","ハラオジマイッチョウメ"
"原尾島住宅","en","Haraojima Jutaku"
"原尾島住宅","ja","原尾島住宅"
"原尾島住宅","ja-Hrkt","ハラオジマジュウタク"
"原尾島橋","en","Haraojimabashi"
"原尾島橋","ja","原尾島橋"
"原尾島橋","ja-Hrkt","ハラオジマバシ"
"原川市","en","Harakawaichi"
"原川市","ja","原川市"
"原川市","ja-Hrkt","ハラカワイチ"
"原東・東郵便局前","en","Hara-higashi,Higashi Post Office"
"原東・東郵便局前","ja","原東・東郵便局前"
"原東・東郵便局前","ja-Hrkt","ハラヒガシヒガシユウビンキョクマエ"
"ヘラ取神社前","en","Heratori Jinja-mae（Heratori Shrine）"
"ヘラ取神社前","ja","ヘラ取神社前"
"ヘラ取神社前","ja-Hrkt","ヘラトリジンジャマエ"
"古京","en","Furugyo"
"古京","ja","古京"
"古京","ja-Hrkt","フルギョウ"
"古新田","en","Koshinden"
"古新田","ja","古新田"
"古新田","ja-Hrkt","コシンデン"
"古新田北","en","Koshinden-kita"
"古新田北","ja","古新田北"
"古新田北","ja-Hrkt","コシンデンキタ"
"古水江","en","Komizue"
"古水江","ja","古水江"
"古水江","ja-Hrkt","コミズエ"
"只口","en","Tadaguchi"
"只口","ja","只口"
"只口","ja-Hrkt","タダグチ"
"れんげ台団地前","en","Rengedai Danchi-mae"
"れんげ台団地前","ja","れんげ台団地前"
"れんげ台団地前","ja-Hrkt","レンゲダイダンチマエ"
"れんげ台団地口","en","Renge Danchi-guchi"
"れんげ台団地口","ja","れんげ台団地口"
"れんげ台団地口","ja-Hrkt","レンゲダイダンチグチ"
"パナソニック吉備","en","Panasonic Kibi"
"パナソニック吉備","ja","パナソニック吉備"
"パナソニック吉備","ja-Hrkt","パナソニックキビ"
"吉備津神社","en","Kibitsu Jinja"
"吉備津神社","ja","吉備津神社"
"吉備津神社","ja-Hrkt","キビツジンジャ"
"吉備津神社参道口","en","Kibitsu Jinja Sando-guchi"
"吉備津神社参道口","ja","吉備津神社参道口"
"吉備津神社参道口","ja-Hrkt","キビツジンジャサンドウグチ"
"吉備津駅口","en","Kibitsueki-guchi"
"吉備津駅口","ja","吉備津駅口"
"吉備津駅口","ja-Hrkt","キビツエキグチ"
"吉備青少年自然の家入口","en","Kibiseisyounen Shizennoie Iriguchi"
"吉備青少年自然の家入口","ja","吉備青少年自然の家入口"
"吉備青少年自然の家入口","ja-Hrkt","キビセイショウネンシゼンノイエイリグチ"
"吉備高原口","en","Kibikogen-guchi"
"吉備高原口","ja","吉備高原口"
"吉備高原口","ja-Hrkt","キビコウゲングチ"
"吉備高原大橋","en","Kibikogen Ohashi"
"吉備高原大橋","ja","吉備高原大橋"
"吉備高原大橋","ja-Hrkt","キビコウゲンオオハシ"
"吉備高原学園高前","en","Kibikogen Gakuenkou-mae"
"吉備高原学園高前","ja","吉備高原学園高前"
"吉備高原学園高前","ja-Hrkt","キビコウゲンガクエンコウマエ"
"吉原","en","Yoshihara"
"吉原","ja","吉原"
"吉原","ja-Hrkt","ヨシハラ"
"吉ケ原","en","Kichigahara"
"吉ケ原","ja","吉ケ原"
"吉ケ原","ja-Hrkt","キチガハラ"
"吉ケ原上之町","en","Kichigahara Kaminocho"
"吉ケ原上之町","ja","吉ケ原上之町"
"吉ケ原上之町","ja-Hrkt","キチガハラカミノチョウ"
"吉ケ原中之町","en","Kichigahara Nakanocho"
"吉ケ原中之町","ja","吉ケ原中之町"
"吉ケ原中之町","ja-Hrkt","キチガハラナカノチョウ"
"吉ヶ原車庫","en","Kichigahara Shako"
"吉ヶ原車庫","ja","吉ヶ原車庫"
"吉ヶ原車庫","ja-Hrkt","キチガハラシャコ"
"吉塔","en","Kito"
"吉塔","ja","吉塔"
"吉塔","ja-Hrkt","キットウ"
"吉塔東","en","Kito-higashi"
"吉塔東","ja","吉塔東"
"吉塔東","ja-Hrkt","キットウヒガシ"
"吉宗","en","Yoshimune"
"吉宗","ja","吉宗"
"吉宗","ja-Hrkt","ヨシムネ"
"吉尾口","en","Yoshio-guchi"
"吉尾口","ja","吉尾口"
"吉尾口","ja-Hrkt","ヨシオグチ"
"吉岡","en","Yoshioka"
"吉岡","ja","吉岡"
"吉岡","ja-Hrkt","ヨシオカ"
"吉森","en","Yoshimori"
"吉森","ja","吉森"
"吉森","ja-Hrkt","ヨシモリ"
"吉田消防機庫前","en","Yoshida Shoboukiko-mae"
"吉田消防機庫前","ja","吉田消防機庫前"
"吉田消防機庫前","ja-Hrkt","ヨシダショウボウキコマエ"
"吉野町","en","Yoshinocho"
"吉野町","ja","吉野町"
"吉野町","ja-Hrkt","ヨシノチョウ"
"同和鉱業前","en","Dowa Kogyo-mae"
"同和鉱業前","ja","同和鉱業前"
"同和鉱業前","ja-Hrkt","ドウワコウギョウマエ"
"名原尾","en","Nabarou"
"名原尾","ja","名原尾"
"名原尾","ja-Hrkt","ナバロウ"
"名古屋","en","Nagoya"
"名古屋","ja","名古屋"
"名古屋","ja-Hrkt","ナゴヤ"
"向小串東","en","Mukaikogushi-higashi"
"向小串東","ja","向小串東"
"向小串東","ja-Hrkt","ムカイコグシヒガシ"
"向小串西","en","Mukaikogushi-nishi"
"向小串西","ja","向小串西"
"向小串西","ja-Hrkt","ムカイコグシニシ"
"向陽小学校前","en","Koyo Shogakko-mae"
"向陽小学校前","ja","向陽小学校前"
"向陽小学校前","ja-Hrkt","コウヨウショウガッコウマエ"
"吹屋町","en","Fukiyamachi"
"吹屋町","ja","吹屋町"
"吹屋町","ja-Hrkt","フキヤマチ"
"和中","en","Wanaka"
"和中","ja","和中"
"和中","ja-Hrkt","ワナカ"
"和田","en","Wada"
"和田","ja","和田"
"和田","ja-Hrkt","ワダ"
"和田一丁目","en","Wada 1-chome"
"和田一丁目","ja","和田一丁目"
"和田一丁目","ja-Hrkt","ワダイッチョウメ"
"和田三丁目","en","Wada 3-chome"
"和田三丁目","ja","和田三丁目"
"和田三丁目","ja-Hrkt","ワダサンチョウメ"
"和田橋","en","Wadabashi"
"和田橋","ja","和田橋"
"和田橋","ja-Hrkt","ワダバシ"
"和田社宅前","en","Wada Shataku-mae"
"和田社宅前","ja","和田社宅前"
"和田社宅前","ja-Hrkt","ワダシャタクマエ"
"品田橋","en","Shinadabashi"
"品田橋","ja","品田橋"
"品田橋","ja-Hrkt","シナダバシ"
"商工会館前","en","Shoko Kaikan-mae"
"商工会館前","ja","商工会館前"
"商工会館前","ja-Hrkt","ショウコウカイカンマエ"
"商工高校前","en","Shoko Koko-mae.（Shoko High School）"
"商工高校前","ja","商工高校前"
"商工高校前","ja-Hrkt","ショウコウコウコウマエ"
"問屋町","en","Toiyacho"
"問屋町","ja","問屋町"
"問屋町","ja-Hrkt","トイヤチョウ"
"問屋町入口","en","Tonyacho Iriguchi"
"問屋町入口","ja","問屋町入口"
"問屋町入口","ja-Hrkt","トンヤチョウイリグチ"
"善福寺前","en","Zempukuji-mae（Zempukuji Temple）"
"善福寺前","ja","善福寺前"
"善福寺前","ja-Hrkt","ゼンプクジマエ"
"営林署前","en","Eirinsho-mae"
"営林署前","ja","営林署前"
"営林署前","ja-Hrkt","エイリンショマエ"
"嘉永橋","en","Kaeibashi"
"嘉永橋","ja","嘉永橋"
"嘉永橋","ja-Hrkt","カエイバシ"
"四井手","en","Shiide"
"四井手","ja","四井手"
"四井手","ja-Hrkt","シイデ"
"四十瀬球場前","en","Shijuse Kyujo-mae"
"四十瀬球場前","ja","四十瀬球場前"
"四十瀬球場前","ja-Hrkt","シジュウセキュウジョウマエ"
"四季桜","en","Shikizakura"
"四季桜","ja","四季桜"
"四季桜","ja-Hrkt","シキザクラ"
"四番用水","en","Yoban Yosui"
"四番用水","ja","四番用水"
"四番用水","ja-Hrkt","ヨバンヨウスイ"
"四ツ谷","en","Yotsuya"
"四ツ谷","ja","四ツ谷"
"四ツ谷","ja-Hrkt","ヨツヤ"
"四ツ谷北","en","Yotsuya-kita"
"四ツ谷北","ja","四ツ谷北"
"四ツ谷北","ja-Hrkt","ヨツヤキタ"
"四軒屋","en","Shiken-ya"
"四軒屋","ja","四軒屋"
"四軒屋","ja-Hrkt","シケンヤ"
"四軒屋住宅","en","Shiken-ya Jutaku"
"四軒屋住宅","ja","四軒屋住宅"
"四軒屋住宅","ja-Hrkt","シケンヤジュウタク"
"ダミー(回送用)","en","Dummy"
"ダミー(回送用)","ja","ダミー(回送用)"
"ダミー(回送用)","ja-Hrkt","ダミーカイソウヨウ"
"やよい団地","en","Yayoi Danchi"
"やよい団地","ja","やよい団地"
"やよい団地","ja-Hrkt","ヤヨイダンチ"
"ひかり団地１","en","Hikari Danchi1"
"ひかり団地１","ja","ひかり団地１"
"ひかり団地１","ja-Hrkt","ヒカリダンチイチ"
"ひかり団地２","en","Hikari Danchi2"
"ひかり団地２","ja","ひかり団地２"
"ひかり団地２","ja-Hrkt","ヒカリダンチニ"
"ひかり団地３","en","Hikari Danchi3"
"ひかり団地３","ja","ひかり団地３"
"ひかり団地３","ja-Hrkt","ヒカリダンチサン"
"団地入口","en","Danchi Iriguchi"
"団地入口","ja","団地入口"
"団地入口","ja-Hrkt","ダンチイリグチ"
"ひかり団地公園前","en","Hikari Danchi Koen-mae"
"ひかり団地公園前","ja","ひかり団地公園前"
"ひかり団地公園前","ja-Hrkt","ヒカリダンチコウエンマエ"
"ひかり団地前","en","Hikari Danchi-mae"
"ひかり団地前","ja","ひかり団地前"
"ひかり団地前","ja-Hrkt","ヒカリダンチマエ"
"国ヶ原","en","Kunigahara"
"国ヶ原","ja","国ヶ原"
"国ヶ原","ja-Hrkt","クニガハラ"
"国ヶ原リバーサイド","en","Kunigahara Riverside"
"国ヶ原リバーサイド","ja","国ヶ原リバーサイド"
"国ヶ原リバーサイド","ja-Hrkt","クニガハラリバーサイド"
"国富","en","Kunitomi"
"国富","ja","国富"
"国富","ja-Hrkt","クニトミ"
"国富東","en","Kunitomi-higashi"
"国富東","ja","国富東"
"国富東","ja-Hrkt","クニトミヒガシ"
"国広","en","Kunihiro"
"国広","ja","国広"
"国広","ja-Hrkt","クニヒロ"
"国府市場西","en","Kokufuichiba-nishi"
"国府市場西","ja","国府市場西"
"国府市場西","ja-Hrkt","コクフイチバニシ"
"国民宿舎前","en","Kokuminshukusha-mae"
"国民宿舎前","ja","国民宿舎前"
"国民宿舎前","ja-Hrkt","コクミンシュクシャマエ"
"国清寺前","en","Kokuseiji-mae"
"国清寺前","ja","国清寺前"
"国清寺前","ja-Hrkt","コクセイジマエ"
"国立病院","en","Kokuritsu Byoin (National Hospital)"
"国立病院","ja","国立病院"
"国立病院","ja-Hrkt","コクリツビョウイン"
"国立病院(中鉄)","en","Kokuritsu Byoin (National Hospital)"
"国立病院(中鉄)","ja","国立病院(中鉄)"
"国立病院(中鉄)","ja-Hrkt","コクリツビョウイン"
"国道フェリー","en","Kokudo-Ferry"
"国道フェリー","ja","国道フェリー"
"国道フェリー","ja-Hrkt","コクドウフェリー"
"国道５３号旧道","en","Kokudou 53 gou Kyudo"
"国道５３号旧道","ja","国道５３号旧道"
"国道５３号旧道","ja-Hrkt","コクドウゴジュウサンゴウキュウドウ"
"オリーブ園入口","en","Olive-en Iriguchi"
"オリーブ園入口","ja","オリーブ園入口"
"オリーブ園入口","ja-Hrkt","オリーブエンイリグチ"
"ＲＳＫバラ園前","en","RSK Bara-en-mae"
"ＲＳＫバラ園前","ja","ＲＳＫバラ園前"
"ＲＳＫバラ園前","ja-Hrkt","アールエスケイバラエンマエ"
"バラ園南","en","Bara-en-minami"
"バラ園南","ja","バラ園南"
"バラ園南","ja-Hrkt","バラエンミナミ"
"ＲＳＫバラ園口","en","RSK Bara-en-guchi"
"ＲＳＫバラ園口","ja","ＲＳＫバラ園口"
"ＲＳＫバラ園口","ja-Hrkt","アールエスケイバラエングチ"
"土地改良区前","en","Tochikairyoku-mae"
"土地改良区前","ja","土地改良区前"
"土地改良区前","ja-Hrkt","トチカイリョウクマエ"
"土師方公民館","en","Hajikata Kominkan"
"土師方公民館","ja","土師方公民館"
"土師方公民館","ja-Hrkt","ハジカタコウミンカン"
"土師方口","en","Hajikatakuchi"
"土師方口","ja","土師方口"
"土師方口","ja-Hrkt","ハジカタクチ"
"土師方橋","en","Hajikatabashi"
"土師方橋","ja","土師方橋"
"土師方橋","ja-Hrkt","ハジカタバシ"
"土橋三差路","en","Tsuchibashisansaro"
"土橋三差路","ja","土橋三差路"
"土橋三差路","ja-Hrkt","ツチバシサンサロ"
"坂上","en","Sakaue"
"坂上","ja","坂上"
"坂上","ja-Hrkt","サカウエ"
"坂本","en","Sakamoto"
"坂本","ja","坂本"
"坂本","ja-Hrkt","サカモト"
"坂田町","en","Sakatacho"
"坂田町","ja","坂田町"
"坂田町","ja-Hrkt","サカタチョウ"
"坂田町交差点","en","Sakatacho Kosaten"
"坂田町交差点","ja","坂田町交差点"
"坂田町交差点","ja-Hrkt","サカタチョウコウサテン"
"坂野記念館前","en","Sakano Kinenkan-mae"
"坂野記念館前","ja","坂野記念館前"
"坂野記念館前","ja-Hrkt","サカノキネンカンマエ"
"坪井","en","Tsuboi"
"坪井","ja","坪井"
"坪井","ja-Hrkt","ツボイ"
"坪井下","en","Tsuboi-shimo"
"坪井下","ja","坪井下"
"坪井下","ja-Hrkt","ツボイシモ"
"坪井局前","en","Tsuboikyoku-mae"
"坪井局前","ja","坪井局前"
"坪井局前","ja-Hrkt","ツボイキョクマエ"
"坪井駅前","en","Tsuboieki-mae"
"坪井駅前","ja","坪井駅前"
"坪井駅前","ja-Hrkt","ツボイエキマエ"
"城下","en","Shiroshita"
"城下","ja","城下"
"城下","ja-Hrkt","シロシタ"
"城北橋","en","Shirokitabashi"
"城北橋","ja","城北橋"
"城北橋","ja-Hrkt","シロキタバシ"
"堀南","en","Horinan"
"堀南","ja","堀南"
"堀南","ja-Hrkt","ホリナン"
"堀坂","en","Hossaka"
"堀坂","ja","堀坂"
"堀坂","ja-Hrkt","ホッサカ"
"堀貫","en","Horinuki"
"堀貫","ja","堀貫"
"堀貫","ja-Hrkt","ホリヌキ"
"堀貫北","en","Horinuki-kita"
"堀貫北","ja","堀貫北"
"堀貫北","ja-Hrkt","ホリヌキキタ"
"堀越","en","Horikoshi"
"堀越","ja","堀越"
"堀越","ja-Hrkt","ホリコシ"
"堤下","en","Doteshita"
"堤下","ja","堤下"
"堤下","ja-Hrkt","ドテシタ"
"堤が丘","en","Tsutsumigaoka"
"堤が丘","ja","堤が丘"
"堤が丘","ja-Hrkt","ツツミガオカ"
"塚元","en","Tsukamoto"
"塚元","ja","塚元"
"塚元","ja-Hrkt","ツカモト"
"塚本","en","Tsukamoto"
"塚本","ja","塚本"
"塚本","ja-Hrkt","ツカモト"
"塚角上","en","Tsukatsuno-kami"
"塚角上","ja","塚角上"
"塚角上","ja-Hrkt","ツカツノカミ"
"塚角下","en","Tsukatsuno-shimo"
"塚角下","ja","塚角下"
"塚角下","ja-Hrkt","ツカツノシモ"
"塚谷口","en","Tsukadani-guchi"
"塚谷口","ja","塚谷口"
"塚谷口","ja-Hrkt","ツカダニグチ"
"境目","en","Sakaime"
"境目","ja","境目"
"境目","ja-Hrkt","サカイメ"
"夢二生家記念館前","en","Yamada Iriguchi/Yumeji Seika-mae"
"夢二生家記念館前","ja","夢二生家記念館前"
"夢二生家記念館前","ja-Hrkt","ユメジセイカキネンカンマエ"
"大下","en","Oshimo"
"大下","ja","大下"
"大下","ja-Hrkt","オオシモ"
"大井〔１〕","en","Oi"
